run,q_con,q_mod,n,LKL_greedy,LKL_ILP
2,0.9,0.9,6,-0.843,-0.843
3,0.1,0.1,4,-2.724,-2.724
3,0.1,0.1,5,-3.04,-3.04
3,0.1,0.1,6,-3.251,-3.251
3,0.1,0.2,4,-0.657,-0.657
3,0.1,0.2,5,-0.986,-0.986
3,0.1,0.2,6,-3.37,-3.37
3,0.1,0.3,4,-3.478,-3.478
3,0.1,0.3,5,-5.144,-3.94
3,0.1,0.3,6,-6.319,-5.115
3,0.1,0.4,4,-1.743,-1.743
3,0.1,0.4,5,-6.389,-5.473
3,0.1,0.4,6,-8.432,-7.516
3,0.1,0.5,4,-2.29,-2.29
3,0.1,0.5,5,-3.782,-3.782
3,0.1,0.5,6,-5.273,-5.273
3,0.1,0.6,4,-2.96,-2.96
3,0.1,0.6,5,-7.2,-6.689
3,0.1,0.6,6,-8.733,-8.222
3,0.1,0.7,4,-4.325,-2.975
3,0.1,0.7,5,-5.635,-4.285
3,0.1,0.7,6,-6.944,-5.594
3,0.1,0.8,4,-3.43,-3.43
3,0.1,0.8,5,-5.144,-5.144
3,0.1,0.8,6,-7.893,-7.082
3,0.1,0.9,4,-4.816,-4.816
3,0.1,0.9,5,-7.435,-7.224
3,0.1,0.9,6,-10.053,-9.632
3,0.2,0.1,4,-0.657,-0.657
3,0.2,0.1,5,-3.393,-3.393
3,0.2,0.1,6,-5.214,-5.214
3,0.2,0.2,4,-2.502,-2.502
3,0.2,0.2,5,-3.171,-3.171
3,0.2,0.2,6,-5.227,-5.227
3,0.2,0.3,4,-2.546,-2.546
3,0.2,0.3,5,-4.686,-4.686
3,0.2,0.3,6,-5.266,-5.266
3,0.2,0.4,4,-2.854,-2.854
3,0.2,0.4,5,-3.588,-3.588
3,0.2,0.4,6,-7.176,-7.136
3,0.2,0.5,4,-1.833,-1.833
3,0.2,0.5,5,-5.521,-5.521
3,0.2,0.5,6,-6.438,-6.438
3,0.2,0.6,4,-2.79,-2.79
3,0.2,0.6,5,-5.315,-5.315
3,0.2,0.6,6,-6.966,-6.966
3,0.2,0.7,4,-4.597,-4.241
3,0.2,0.7,5,-6.381,-6.024
3,0.2,0.7,6,-7.808,-7.451
3,0.2,0.8,4,-5.275,-5.051
3,0.2,0.8,5,-7.33,-7.107
3,0.2,0.8,6,-9.163,-8.94
3,0.2,0.9,4,-4.346,-3.43
3,0.2,0.9,5,-6.166,-5.144
3,0.2,0.9,6,-7.986,-6.859
3,0.3,0.1,4,-0.924,-0.924
3,0.3,0.1,5,-1.386,-1.386
3,0.3,0.1,6,-1.848,-1.848
3,0.3,0.2,4,-1.383,-1.383
3,0.3,0.2,5,-2.186,-2.186
3,0.3,0.2,6,-2.989,-2.989
3,0.3,0.3,4,-2.631,-2.631
3,0.3,0.3,5,-4.548,-4.548
3,0.3,0.3,6,-6.822,-6.822
3,0.3,0.4,4,-1.735,-1.735
3,0.3,0.4,5,-3.961,-3.961
3,0.3,0.4,6,-6.255,-6.255
3,0.3,0.5,4,-2.793,-2.793
3,0.3,0.5,5,-5.383,-5.383
3,0.3,0.5,6,-7.126,-7.126
3,0.3,0.6,4,-2.988,-2.988
3,0.3,0.6,5,-4.261,-4.261
3,0.3,0.6,6,-6.892,-6.892
3,0.3,0.7,4,-3.121,-3.121
3,0.3,0.7,5,-4.682,-4.682
3,0.3,0.7,6,-7.803,-7.447
3,0.3,0.8,4,-3.393,-2.854
3,0.3,0.8,5,-4.82,-4.281
3,0.3,0.8,6,-6.786,-5.932
3,0.3,0.9,4,-4.921,-4.816
3,0.3,0.9,5,-6.231,-6.125
3,0.3,0.9,6,-7.54,-7.435
3,0.4,0.1,4,-1.232,-1.232
3,0.4,0.1,5,-4.151,-4.151
3,0.4,0.1,6,-4.767,-4.767
3,0.4,0.2,4,-1.468,-1.468
3,0.4,0.2,5,-2.202,-2.202
3,0.4,0.2,6,-3.341,-3.341
3,0.4,0.3,4,-2.903,-2.903
3,0.4,0.3,5,-4.483,-4.483
3,0.4,0.3,6,-6.421,-6.421
3,0.4,0.4,4,-2.043,-2.043
3,0.4,0.4,5,-3.47,-3.47
3,0.4,0.4,6,-6.43,-6.43
3,0.4,0.5,4,-3.507,-3.507
3,0.4,0.5,5,-4.711,-4.711
3,0.4,0.5,6,-7.706,-7.013
3,0.4,0.6,4,-3.26,-3.26
3,0.4,0.6,5,-6.519,-6.519
3,0.4,0.6,6,-9.374,-9.374
3,0.4,0.7,4,-5.039,-4.597
3,0.4,0.7,5,-6.669,-5.87
3,0.4,0.7,6,-9.587,-8.347
3,0.4,0.8,4,-3.665,-3.665
3,0.4,0.8,5,-3.418,-3.418
3,0.4,0.8,6,-5.539,-4.781
3,0.4,0.9,4,-2.043,-2.043
3,0.4,0.9,5,-3.065,-3.065
3,0.4,0.9,6,-6.389,-6.284
3,0.5,0.1,4,-1.702,-1.702
3,0.5,0.1,5,-2.606,-2.606
3,0.5,0.1,6,-3.615,-3.615
3,0.5,0.2,4,-1.833,-1.833
3,0.5,0.2,5,-4.358,-4.358
3,0.5,0.2,6,-5.498,-5.498
3,0.5,0.3,4,-2.456,-2.456
3,0.5,0.3,5,-4.219,-4.219
3,0.5,0.3,6,-6.339,-6.339
3,0.5,0.4,4,-2.408,-2.408
